emancipation-nn' emancipate-vb'
ravishment-nn' ravish-vb'
globalization-nn' globalize-vb'
carpet-bombing-nn' carpet-bomb-vb'
softening-nn' soften-vb'
girdle-nn' girdle-vb'
defibrillator-nn' defibrillate-vb'
cyclist-nn' cycle-vb'
bag-nn' bag-vb'
number-nn' number-vb'
elision-nn' elide-vb'
range-nn' range-vb'
wetter-nn' wet-vb'
emasculation-nn' emasculate-vb'
mopper-nn' mop-vb'
wreck-nn' wreck-vb'
scorner-nn' scorn-vb'
voluntary-nn' volunteer-vb'
shingler-nn' shingle-vb'
awe-nn' awe-vb'
gown-nn' gown-vb'
keratinization-nn' keratinize-vb'
shallow-nn' shallow-vb'
supplanter-nn' supplant-vb'
yelp-nn' yelp-vb'
reckoning-nn' reckon-vb'
birdie-nn' birdie-vb'
stoop-nn' stoop-vb'
body-nn' body-vb'
submission-nn' submit-vb'
surrenderer-nn' surrender-vb'
interruption-nn' interrupt-vb'
condolence-nn' condole-vb'
drizzle-nn' drizzle-vb'
countermine-nn' countermine-vb'
tout-nn' tout-vb'
postponer-nn' postpone-vb'
relation-nn' relate-vb'
slaughter-nn' slaughter-vb'
metrication-nn' metricate-vb'
defiance-nn' defy-vb'
stool-nn' stool-vb'
cooler-nn' cool-vb'
brutalization-nn' brutalize-vb'
coaction-nn' coact-vb'
tamper-nn' tamp-vb'
vender-nn' vend-vb'
cleft-nn' cleave-vb'
slanderer-nn' slander-vb'
caroller-nn' carol-vb'
splat-nn' splat-vb'
wounding-nn' wound-vb'
equivocation-nn' equivocate-vb'
validation-nn' validate-vb'
preachification-nn' preachify-vb'
counterpoise-nn' counterpoise-vb'
cancellation-nn' cancel-vb'
incisure-nn' incise-vb'
nibble-nn' nibble-vb'
corner-nn' corner-vb'
sag-nn' sag-vb'
payer-nn' pay-vb'
cross-dresser-nn' cross-dress-vb'
knower-nn' know-vb'
spoof-nn' spoof-vb'
grant-nn' grant-vb'
regression-nn' regress-vb'
trial-nn' try-vb'
pant-nn' pant-vb'
mooring-nn' moor-vb'
house-nn' house-vb'
escort-nn' escort-vb'
disparager-nn' disparage-vb'
tape-recorder-nn' tape-record-vb'
sleep-nn' sleep-vb'
analyst-nn' analyze-vb'
practice-nn' practice-vb'
fluff-nn' fluff-vb'
tightening-nn' tighten-vb'
waverer-nn' waver-vb'
plea-bargaining-nn' plea-bargain-vb'
partaker-nn' partake-vb'
chirrup-nn' chirrup-vb'
dodging-nn' dodge-vb'
runoff-nn' run-off-vb'
backdown-nn' back-down-vb'
farming-nn' farm-vb'
masturbator-nn' masturbate-vb'
remunerator-nn' remunerate-vb'
conjuration-nn' conjure-vb'
hybridisation-nn' hybridise-vb'
stressor-nn' stress-vb'
force-nn' force-vb'
evolution-nn' evolve-vb'
jeopardy-nn' jeopardize-vb'
jeopardy-nn' jeopardise-vb'
mutant-nn' mutate-vb'
aggression-nn' aggress-vb'
legalisation-nn' legalise-vb'
hauling-nn' haul-vb'
brave-nn' brave-vb'
borrower-nn' borrow-vb'
bailee-nn' bail-vb'
sup-nn' sup-vb'
pound-nn' pound-vb'
constitution-nn' constitutionalize-vb'
constitution-nn' constitute-vb'
deduction-nn' deduct-vb'
deduction-nn' deduce-vb'
curb-nn' curb-vb'
tittivation-nn' tittivate-vb'
signaler-nn' signal-vb'
enslavement-nn' enslave-vb'
trifling-nn' trifle-vb'
offset-nn' offset-vb'
snoring-nn' snore-vb'
grimace-nn' grimace-vb'
effect-nn' effectuate-vb'
effect-nn' effect-vb'
shaver-nn' shave-vb'
scuffle-nn' scuffle-vb'
christening-nn' christen-vb'
magnetisation-nn' magnetise-vb'
colouring-nn' colour-vb'
genuflexion-nn' genuflect-vb'
clarion-nn' clarion-vb'
log-nn' log-vb'
mail-nn' mail-vb'
bidding-nn' bid-vb'
hospitalisation-nn' hospitalise-vb'
joggle-nn' joggle-vb'
reeler-nn' reel-vb'
gorger-nn' gorge-vb'
mind-nn' mind-vb'
griever-nn' grieve-vb'
groveler-nn' grovel-vb'
sounding-nn' sound-vb'
equalisation-nn' equalise-vb'
limner-nn' limn-vb'
standard-nn' standardise-vb'
standard-nn' stand-vb'
standard-nn' standardize-vb'
blinker-nn' blinker-vb'
blinker-nn' blink-vb'
shove-nn' shove-vb'
rebuker-nn' rebuke-vb'
memorisation-nn' memorise-vb'
brad-nn' brad-vb'
designation-nn' designate-vb'
rearmament-nn' rearm-vb'
discontinuance-nn' discontinue-vb'
tintinnabulation-nn' tintinnabulate-vb'
crew-nn' crew-vb'
talker-nn' talk-vb'
questioner-nn' question-vb'
reproduction-nn' reproduce-vb'
overcompensation-nn' overcompensate-vb'
portion-nn' portion-vb'
invention-nn' invent-vb'
resuspension-nn' resuspend-vb'
bearer-nn' bear-vb'
barter-nn' barter-vb'
shoot-nn' shoot-vb'
whisk-nn' whisk-vb'
labour-nn' labour-vb'
transferrer-nn' transfer-vb'
underpayment-nn' underpay-vb'
hoe-nn' hoe-vb'
wiretapper-nn' wiretap-vb'
chafe-nn' chafe-vb'
reversal-nn' reverse-vb'
detour-nn' detour-vb'
okay-nn' okay-vb'
thunder-nn' thunder-vb'
spiral-nn' spiral-vb'
dissolver-nn' dissolve-vb'
conferral-nn' confer-vb'
petting-nn' pet-vb'
simmer-nn' simmer-vb'
kick-starter-nn' kick-start-vb'
antic-nn' antic-vb'
detestation-nn' detest-vb'
extrication-nn' extricate-vb'
snowboarder-nn' snowboard-vb'
oozing-nn' ooze-vb'
devitalization-nn' devitalize-vb'
rebutter-nn' rebut-vb'
overestimate-nn' overestimate-vb'
kidnapping-nn' kidnap-vb'
mask-nn' mask-vb'
check-in-nn' check-in-vb'
repercussion-nn' repercuss-vb'
changeover-nn' change-over-vb'
pompadour-nn' pompadour-vb'
drowse-nn' drowse-vb'
fund-nn' fund-vb'
usurpation-nn' usurp-vb'
challenge-nn' challenge-vb'
casket-nn' casket-vb'
pink-nn' pinkify-vb'
lather-nn' lather-vb'
navigator-nn' navigate-vb'
sprayer-nn' spray-vb'
breaker-nn' break-vb'
halloo-nn' halloo-vb'
ante-nn' ante-vb'
fluctuation-nn' fluctuate-vb'
shirker-nn' shirk-vb'
vulgarizer-nn' vulgarize-vb'
fossilisation-nn' fossilise-vb'
devotion-nn' devote-vb'
bumbler-nn' bumble-vb'
bat-nn' bat-vb'
toner-nn' tone-vb'
drunkard-nn' drink-vb'
sewing-nn' sew-vb'
grappler-nn' grapple-vb'
container-nn' containerize-vb'
container-nn' containerise-vb'
container-nn' contain-vb'
stigmatisation-nn' stigmatise-vb'
insult-nn' insult-vb'
equilibrium-nn' equilibrate-vb'
equilibrium-nn' equilibrize-vb'
drool-nn' drool-vb'
lapidator-nn' lapidate-vb'
gull-nn' gull-vb'
conjuror-nn' conjure-vb'
belch-nn' belch-vb'
speciation-nn' speciate-vb'
fermenting-nn' ferment-vb'
anointment-nn' anoint-vb'
impoverishment-nn' impoverish-vb'
rephrasing-nn' rephrase-vb'
boxer-nn' box-vb'
machination-nn' machinate-vb'
energy-nn' energize-vb'
plagiarisation-nn' plagiarise-vb'
videotape-nn' videotape-vb'
field-test-nn' field-test-vb'
quibble-nn' quibble-vb'
respondent-nn' respond-vb'
drinking-nn' drink-vb'
maltreater-nn' maltreat-vb'
concoction-nn' concoct-vb'
circumscription-nn' circumscribe-vb'
twinge-nn' twinge-vb'
fret-nn' fret-vb'
tilling-nn' till-vb'
sprinter-nn' sprint-vb'
precipitator-nn' precipitate-vb'
elution-nn' elute-vb'
silence-nn' silence-vb'
incarnation-nn' incarnate-vb'
ululation-nn' ululate-vb'
sedimentation-nn' sediment-vb'
putrefaction-nn' putrefy-vb'
service-nn' service-vb'
coagulation-nn' coagulate-vb'
procrastinator-nn' procrastinate-vb'
blackmailer-nn' blackmail-vb'
dibble-nn' dibble-vb'
knight-nn' knight-vb'
vermilion-nn' vermilion-vb'
diagram-nn' diagram-vb'
caption-nn' caption-vb'
jet-nn' jet-vb'
corrugation-nn' corrugate-vb'
subduer-nn' subdue-vb'
lock-nn' lock-vb'
zapper-nn' zap-vb'
short-nn' short-vb'
completion-nn' complete-vb'
hap-nn' hap-vb'
novelisation-nn' novelise-vb'
flagellation-nn' flagellate-vb'
tracker-nn' track-vb'
nut-nn' nut-vb'
integrator-nn' integrate-vb'
defender-nn' defend-vb'
extenuation-nn' extenuate-vb'
filibuster-nn' filibuster-vb'
vesiculation-nn' vesiculate-vb'
base-nn' basify-vb'
base-nn' base-vb'
toiler-nn' toil-vb'
liberty-nn' liberate-vb'
retrial-nn' retry-vb'
flattery-nn' flatter-vb'
potentiation-nn' potentiate-vb'
thrower-nn' throw-vb'
snaffle-nn' snaffle-vb'
orderer-nn' order-vb'
resumption-nn' resume-vb'
indisposition-nn' indispose-vb'
skipper-nn' skipper-vb'
skipper-nn' skip-vb'
vibrator-nn' vibrate-vb'
pillaging-nn' pillage-vb'
clump-nn' clump-vb'
propulsion-nn' propel-vb'
escalader-nn' escalade-vb'
smotherer-nn' smother-vb'
feasting-nn' feast-vb'
fumble-nn' fumble-vb'
feminization-nn' feminize-vb'
fueling-nn' fuel-vb'
lighter-nn' lighter-vb'
lighter-nn' light-vb'
mimicker-nn' mimic-vb'
drippings-nn' drip-vb'
ricer-nn' rice-vb'
survey-nn' survey-vb'
expulsion-nn' expel-vb'
blabber-nn' blabber-vb'
blabber-nn' blab-vb'
eyeball-nn' eyeball-vb'
gush-nn' gush-vb'
reflation-nn' reflate-vb'
answerer-nn' answer-vb'
vouchee-nn' vouch-vb'
reversion-nn' revert-vb'
avoidance-nn' avoid-vb'
retake-nn' retake-vb'
semaphore-nn' semaphore-vb'
quote-nn' quote-vb'
lard-nn' lard-vb'
lauder-nn' laud-vb'
phonation-nn' phonate-vb'
footnote-nn' footnote-vb'
goading-nn' goad-vb'
bitumen-nn' bituminize-vb'
kisser-nn' kiss-vb'
snooze-nn' snooze-vb'
wager-nn' wager-vb'
x-raying-nn' x-ray-vb'
damascene-nn' damascene-vb'
authenticator-nn' authenticate-vb'
entitlement-nn' entitle-vb'
moonshine-nn' moonshine-vb'
flaw-nn' flaw-vb'
tumbler-nn' tumble-vb'
trance-nn' trance-vb'
grafting-nn' graft-vb'
reshuffling-nn' reshuffle-vb'
dueler-nn' duel-vb'
winch-nn' winch-vb'
baronet-nn' baronetize-vb'
typing-nn' type-vb'
bust-nn' bust-vb'
vomiting-nn' vomit-vb'
fricassee-nn' fricassee-vb'
forge-nn' forge-vb'
neglecter-nn' neglect-vb'
telecaster-nn' telecast-vb'
paging-nn' page-vb'
conglutination-nn' conglutinate-vb'
lark-nn' lark-vb'
encampment-nn' encamp-vb'
pulverization-nn' pulverize-vb'
sealing-nn' seal-vb'
quackery-nn' quack-vb'
micturition-nn' micturate-vb'
homology-nn' homologize-vb'
backslapper-nn' backslap-vb'
breakaway-nn' break-away-vb'
mapper-nn' map-vb'
furtherance-nn' further-vb'
equivocator-nn' equivocate-vb'
upsetter-nn' upset-vb'
licence-nn' licence-vb'
terror-nn' terrify-vb'
terror-nn' terrorize-vb'
terror-nn' terrorise-vb'
abreaction-nn' abreact-vb'
chilling-nn' chill-vb'
watercolorist-nn' watercolor-vb'
reformation-nn' reform-vb'
cleanup-nn' clean-up-vb'
reinstatement-nn' reinstate-vb'
venture-nn' venture-vb'
easement-nn' ease-vb'
repossession-nn' repossess-vb'
systematizer-nn' systematize-vb'
announcer-nn' announce-vb'
surfacing-nn' surface-vb'
voting-nn' vote-vb'
bushwhacker-nn' bushwhack-vb'
walking-on-air-nn' walk-on-air-vb'
bicycler-nn' bicycle-vb'
twang-nn' twang-vb'
relapse-nn' relapse-vb'
estivation-nn' estivate-vb'
scrap-nn' scrap-vb'
adolescent-nn' adolesce-vb'
cerebration-nn' cerebrate-vb'
scrub-nn' scrub-vb'
plonk-nn' plonk-vb'
annoyance-nn' annoy-vb'
ascendancy-nn' ascend-vb'
retread-nn' retread-vb'
protrusion-nn' protrude-vb'
harp-nn' harp-vb'
sleepwalker-nn' sleepwalk-vb'
pissing-nn' piss-vb'
spillage-nn' spill-vb'
vapor-nn' vaporize-vb'
vapor-nn' evaporate-vb'
vapor-nn' vaporise-vb'
foundering-nn' founder-vb'
love-nn' love-vb'
spirt-nn' spirt-vb'
disinfestation-nn' disinfest-vb'
uprooter-nn' uproot-vb'
intervention-nn' intervene-vb'
skunk-nn' skunk-vb'
mire-nn' mire-vb'
convolution-nn' convolute-vb'
convolution-nn' convolve-vb'
dismissal-nn' dismiss-vb'
compaction-nn' compact-vb'
floatation-nn' float-vb'
resettlement-nn' resettle-vb'
expenditure-nn' expend-vb'
axe-nn' axe-vb'
underwriter-nn' underwrite-vb'
swirl-nn' swirl-vb'
tattler-nn' tattle-vb'
subscription-nn' subscribe-vb'
vulcanization-nn' vulcanize-vb'
enthronization-nn' enthrone-vb'
rat-nn' rat-vb'
tumble-nn' tumble-vb'
post-nn' post-vb'
coin-nn' coin-vb'
hold-nn' hold-vb'
footslogger-nn' footslog-vb'
reserve-nn' reserve-vb'
obeisance-nn' obey-vb'
bar-mitzvah-nn' bar-mitzvah-vb'
jeerer-nn' jeer-vb'
caddie-nn' caddie-vb'
dampening-nn' dampen-vb'
wet-nn' wet-vb'
immigrant-nn' immigrate-vb'
cataloguer-nn' catalogue-vb'
snicker-nn' snicker-vb'
caster-nn' cast-vb'
torturing-nn' torture-vb'
coo-nn' coo-vb'
ascription-nn' ascribe-vb'
reiteration-nn' reiterate-vb'
sniffle-nn' sniffle-vb'
sweating-nn' sweat-vb'
marketer-nn' market-vb'
multiplication-nn' multiply-vb'
fiddle-nn' fiddle-vb'
trumpeter-nn' trumpet-vb'
huddle-nn' huddle-vb'
defroster-nn' defrost-vb'
darner-nn' darn-vb'
spritz-nn' spritz-vb'
speech-nn' speak-vb'
speech-nn' speechify-vb'
affixation-nn' affix-vb'
tune-up-nn' tune-up-vb'
tattoo-nn' tattoo-vb'
transporter-nn' transport-vb'
suffering-nn' suffer-vb'
interlock-nn' interlock-vb'
mugging-nn' mug-vb'
relaxation-nn' relax-vb'
invasion-nn' invade-vb'
examiner-nn' examine-vb'
fluoridation-nn' fluoridate-vb'
plant-nn' plant-vb'
repatriation-nn' repatriate-vb'
adjournment-nn' adjourn-vb'
devotee-nn' devote-vb'
enlistment-nn' enlist-vb'
aggressor-nn' aggress-vb'
inhumation-nn' inhume-vb'
memory-nn' memorize-vb'
cracker-nn' crack-vb'
seller-nn' sell-vb'
plagiariser-nn' plagiarise-vb'
inebriation-nn' inebriate-vb'
rave-nn' rave-vb'
chaperone-nn' chaperone-vb'
patter-nn' patter-vb'
impartation-nn' impart-vb'
reabsorption-nn' reabsorb-vb'
solvate-nn' solvate-vb'
quiet-nn' quiet-vb'
recliner-nn' recline-vb'
horn-nn' horn-vb'
chomping-nn' chomp-vb'
gravitation-nn' gravitate-vb'
fleer-nn' fleer-vb'
fleer-nn' flee-vb'
spoon-nn' spoon-vb'
romanticisation-nn' romanticise-vb'
begetter-nn' beget-vb'
mutilation-nn' mutilate-vb'
cleavage-nn' cleave-vb'
snooper-nn' snoop-vb'
malignment-nn' malign-vb'
acceptance-nn' accept-vb'
intermission-nn' intermit-vb'
encrustation-nn' encrust-vb'
inhibitor-nn' inhibit-vb'
traveler-nn' travel-vb'
referral-nn' refer-vb'
marking-nn' mark-vb'
agglutination-nn' agglutinate-vb'
savvy-nn' savvy-vb'
speeder-nn' speed-vb'
conveyer-nn' convey-vb'
discipline-nn' discipline-vb'
tiller-nn' till-vb'
tiller-nn' tiller-vb'
simulation-nn' simulate-vb'
babbler-nn' babble-vb'
scramble-nn' scramble-vb'
offering-nn' offer-vb'
union-nn' unite-vb'
union-nn' unionize-vb'
exclamation-nn' exclaim-vb'
mistreatment-nn' mistreat-vb'
feeder-nn' feed-vb'
floor-nn' floor-vb'
perennation-nn' perennate-vb'
retch-nn' retch-vb'
seat-nn' seat-vb'
gripe-nn' gripe-vb'
ringer-nn' ring-vb'
corset-nn' corset-vb'
glamour-nn' glamourise-vb'
glamour-nn' glamour-vb'
target-nn' target-vb'
establishment-nn' establish-vb'
victimiser-nn' victimise-vb'
spoliation-nn' spoil-vb'
drain-nn' drain-vb'
setup-nn' set-up-vb'
separator-nn' separate-vb'
melter-nn' melt-vb'
clotting-nn' clot-vb'
introversion-nn' introvert-vb'
transplantation-nn' transplant-vb'
stave-nn' stave-vb'
quarreller-nn' quarrel-vb'
selection-nn' select-vb'
detailing-nn' detail-vb'
testing-nn' test-vb'
ridge-nn' ridge-vb'
repugnance-nn' repugn-vb'
reappearance-nn' reappear-vb'
decontamination-nn' decontaminate-vb'
reburial-nn' rebury-vb'
spangle-nn' spangle-vb'
sinking-nn' sink-vb'
vomit-nn' vomit-vb'
duel-nn' duel-vb'
deodourant-nn' deodourise-vb'
weightlifter-nn' weightlift-vb'
barrel-nn' barrel-vb'
canulisation-nn' cannulate-vb'
vitalizer-nn' vitalize-vb'
slough-nn' slough-vb'
investor-nn' invest-vb'
falsifier-nn' falsify-vb'
protuberance-nn' protuberate-vb'
piracy-nn' pirate-vb'
smarting-nn' smart-vb'
boxing-nn' box-vb'
omen-nn' omen-vb'
riot-nn' riot-vb'
tee-nn' tee-vb'
furniture-nn' furnish-vb'
pattern-nn' pattern-vb'
swindler-nn' swindle-vb'
etymologizing-nn' etymologize-vb'
adductor-nn' adduct-vb'
census-nn' census-vb'
thumping-nn' thump-vb'
ash-nn' ash-vb'
surfer-nn' surf-vb'
centralisation-nn' centralise-vb'
burn-nn' burn-vb'
hugger-mugger-nn' hugger-mugger-vb'
testee-nn' test-vb'
take-nn' take-vb'
resin-nn' resinate-vb'
romper-nn' romp-vb'
agitator-nn' agitate-vb'
brown-nn' brown-vb'
obturator-nn' obturate-vb'
contraindication-nn' contraindicate-vb'
attention-nn' attend-vb'
thus-nn' thurify-vb'
compressing-nn' compress-vb'
twirl-nn' twirl-vb'
raffle-nn' raffle-vb'
thirst-nn' thirst-vb'
mandator-nn' mandate-vb'
radiance-nn' radiate-vb'
selloff-nn' sell-off-vb'
corduroy-nn' corduroy-vb'
stinger-nn' sting-vb'
contester-nn' contest-vb'
origination-nn' originate-vb'
cripple-nn' cripple-vb'
intonation-nn' intone-vb'
intonation-nn' intonate-vb'
drawee-nn' draw-vb'
calendar-nn' calendar-vb'
demurrer-nn' demur-vb'
nictation-nn' nictate-vb'
arc-nn' arc-vb'
protester-nn' protest-vb'
refueling-nn' refuel-vb'
imitation-nn' imitate-vb'
gallop-nn' gallop-vb'
sophisticate-nn' sophisticate-vb'
shore-nn' shore-vb'
peeler-nn' peel-vb'
chitchat-nn' chitchat-vb'
affliction-nn' afflict-vb'
forfeit-nn' forfeit-vb'
kidnapper-nn' kidnap-vb'
ruining-nn' ruin-vb'
substituting-nn' substitute-vb'
grating-nn' grate-vb'
strong-armer-nn' strong-arm-vb'
plastering-nn' plaster-vb'
jewellery-nn' jewel-vb'
trade-in-nn' trade-in-vb'
treatment-nn' treat-vb'
advertizement-nn' advertize-vb'
ripple-nn' ripple-vb'
puke-nn' puke-vb'
dice-nn' dice-vb'
burp-nn' burp-vb'
vower-nn' vow-vb'
annulment-nn' annul-vb'
promisor-nn' promise-vb'
implementation-nn' implement-vb'
skiing-nn' ski-vb'
trustee-nn' trust-vb'
certification-nn' certify-vb'
looter-nn' loot-vb'
trailing-nn' trail-vb'
gaming-nn' game-vb'
groveller-nn' grovel-vb'
caliber-nn' calibrate-vb'
acetylation-nn' acetylate-vb'
preparation-nn' prepare-vb'
brawler-nn' brawl-vb'
squawk-nn' squawk-vb'
dike-nn' dike-vb'
change-nn' change-vb'
peculation-nn' peculate-vb'
ion-nn' ionise-vb'
ion-nn' ionize-vb'
ion-nn' ionate-vb'
sauce-nn' sauce-vb'
tantaliser-nn' tantalise-vb'
accompanist-nn' accompany-vb'
intercession-nn' intercede-vb'
crayon-nn' crayon-vb'
giggle-nn' giggle-vb'
inquiry-nn' inquire-vb'
player-nn' play-vb'
appeal-nn' appeal-vb'
fascination-nn' fascinate-vb'
interdependence-nn' interdepend-vb'
feed-nn' feed-vb'
deaf-nn' deaf-vb'
band-nn' band-vb'
ferrying-nn' ferry-vb'
jointer-nn' joint-vb'
taxi-nn' taxi-vb'
rank-nn' rank-vb'
cantilever-nn' cantilever-vb'
pitch-nn' pitch-vb'
assortment-nn' assort-vb'
whale-nn' whale-vb'
lockage-nn' lock-vb'
correspondent-nn' correspond-vb'
swob-nn' swob-vb'
babbitt-nn' babbitt-vb'
delimitation-nn' delimitate-vb'
delimitation-nn' delimit-vb'
perennial-nn' perennate-vb'
prescription-nn' prescribe-vb'
automation-nn' automate-vb'
blinder-nn' blind-vb'
exculpation-nn' exculpate-vb'
hoard-nn' hoard-vb'
proceedings-nn' proceed-vb'
purport-nn' purport-vb'
squall-nn' squall-vb'
systemizer-nn' systemize-vb'
opener-nn' open-vb'
cop-nn' cop-vb'
mellowing-nn' mellow-vb'
shirt-nn' shirt-vb'
confiscation-nn' confiscate-vb'
sham-nn' sham-vb'
contentment-nn' content-vb'
expiration-nn' expire-vb'
refilling-nn' refill-vb'
calligrapher-nn' calligraph-vb'
sack-nn' sack-vb'
clearing-nn' clear-vb'
residency-nn' reside-vb'
fixing-nn' fix-vb'
rededication-nn' rededicate-vb'
fin-nn' fin-vb'
deadening-nn' deaden-vb'
diehard-nn' die-hard-vb'
surfing-nn' surf-vb'
hijacker-nn' hijack-vb'
prostration-nn' prostrate-vb'
sorrow-nn' sorrow-vb'
deflexion-nn' deflect-vb'
shining-nn' shine-vb'
secretor-nn' secrete-vb'
reset-nn' reset-vb'
esteem-nn' esteem-vb'
apprehension-nn' apprehend-vb'
ionization-nn' ionize-vb'
tin-nn' tin-vb'
desensitisation-nn' desensitise-vb'
wanker-nn' wank-vb'
redactor-nn' redact-vb'
subsistence-nn' subsist-vb'
piloting-nn' pilot-vb'
sluice-nn' sluice-vb'
perseveration-nn' persevere-vb'
perseveration-nn' perseverate-vb'
fruitage-nn' fruit-vb'
golfer-nn' golf-vb'
peg-nn' peg-vb'
shower-nn' shower-vb'
redeployment-nn' redeploy-vb'
defamation-nn' defame-vb'
frier-nn' fry-vb'
demotion-nn' demote-vb'
informer-nn' inform-vb'
mimeograph-nn' mimeograph-vb'
minium-nn' miniate-vb'
switch-hitter-nn' switch-hit-vb'
lessee-nn' lease-vb'
homogenisation-nn' homogenise-vb'
advertisement-nn' advertise-vb'
approval-nn' approve-vb'
approval-nn' approbate-vb'
poleaxe-nn' poleaxe-vb'
cha-cha-nn' cha-cha-vb'
vinification-nn' vinify-vb'
assessee-nn' assess-vb'
connector-nn' connect-vb'
calligraphist-nn' calligraph-vb'
scold-nn' scold-vb'
splitter-nn' split-vb'
disbursement-nn' disburse-vb'
congestion-nn' congest-vb'
dosser-nn' doss-vb'
waster-nn' waste-vb'
clamp-nn' clamp-vb'
sulfur-nn' sulfur-vb'
impersonator-nn' impersonate-vb'
digression-nn' digress-vb'
opening-nn' open-vb'
reamer-nn' ream-vb'
promenade-nn' promenade-vb'
field-nn' field-vb'
denial-nn' deny-vb'
envisioning-nn' envision-vb'
hunch-nn' hunch-vb'
shimmy-nn' shimmy-vb'
pupa-nn' pupate-vb'
redaction-nn' redact-vb'
warp-nn' warp-vb'
garroter-nn' garrote-vb'
open-nn' open-vb'
conglomeration-nn' conglomerate-vb'
volley-nn' volley-vb'
deposition-nn' depose-vb'
deposition-nn' deposit-vb'
scintilla-nn' scintillate-vb'
riveter-nn' rivet-vb'
sacrifice-nn' sacrifice-vb'
perfecter-nn' perfect-vb'
gulper-nn' gulp-vb'
meaning-nn' mean-vb'
wrestler-nn' wrestle-vb'
plea-bargain-nn' plea-bargain-vb'
devastation-nn' devastate-vb'
decree-nn' decree-vb'
divider-nn' divide-vb'
sledder-nn' sled-vb'
shy-nn' shy-vb'
stabber-nn' stab-vb'
dimple-nn' dimple-vb'
applier-nn' apply-vb'
honour-nn' honour-vb'
advisory-nn' advise-vb'
dredge-nn' dredge-vb'
nuke-nn' nuke-vb'
warehouse-nn' warehouse-vb'
minstrel-nn' minstrel-vb'
charleston-nn' charleston-vb'
realisation-nn' realise-vb'
bottle-nn' bottle-vb'
yarn-nn' yarn-vb'
shriek-nn' shriek-vb'
invitation-nn' invite-vb'
gall-nn' gall-vb'
cull-nn' cull-vb'
digitizer-nn' digitize-vb'
apportionment-nn' apportion-vb'
write-in-nn' write-in-vb'
boom-nn' boom-vb'
follow-up-nn' follow-up-vb'
gaol-nn' gaol-vb'
hydrogen-nn' hydrogenate-vb'
communism-nn' communize-vb'
pigeonholing-nn' pigeonhole-vb'
idling-nn' idle-vb'
sensation-nn' sense-vb'
mesh-nn' mesh-vb'
emphasis-nn' emphasize-vb'
submerging-nn' submerge-vb'
stainer-nn' stain-vb'
pargeting-nn' parget-vb'
event-nn' eventuate-vb'
arrogator-nn' arrogate-vb'
raid-nn' raid-vb'
repositing-nn' reposit-vb'
distillment-nn' distill-vb'
screw-nn' screw-vb'
run-through-nn' run-through-vb'
stretch-nn' stretch-vb'
flavourer-nn' flavour-vb'
cabbage-nn' cabbage-vb'
taint-nn' taint-vb'
patroller-nn' patrol-vb'
attribution-nn' attribute-vb'
rake-nn' rake-vb'
linkage-nn' link-vb'
disregard-nn' disregard-vb'
deforestation-nn' deforest-vb'
persecution-nn' persecute-vb'
escalade-nn' escalade-vb'
caramel-nn' caramelise-vb'
caramel-nn' caramelize-vb'
pull-nn' pull-vb'
measuring-nn' measure-vb'
submergence-nn' submerge-vb'
flake-nn' flake-vb'
concealing-nn' conceal-vb'
leer-nn' leer-vb'
freighter-nn' freight-vb'
smooch-nn' smooch-vb'
forking-nn' fork-vb'
audit-nn' audit-vb'
verge-nn' verge-vb'
comportment-nn' comport-vb'
prod-nn' prod-vb'
journeyer-nn' journey-vb'
tramper-nn' tramp-vb'
seer-nn' see-vb'
slang-nn' slang-vb'
inverter-nn' invert-vb'
autoclave-nn' autoclave-vb'
cackler-nn' cackle-vb'
jab-nn' jab-vb'
teleportation-nn' teleport-vb'
groove-nn' groove-vb'
civilisation-nn' civilise-vb'
bug-nn' bug-vb'
till-nn' till-vb'
shiver-nn' shiver-vb'
socialisation-nn' socialise-vb'
grantor-nn' grant-vb'
snort-nn' snort-vb'
stumper-nn' stump-vb'
canonization-nn' canonize-vb'
stylist-nn' style-vb'
stockist-nn' stock-vb'
adjuration-nn' adjure-vb'
wire-nn' wire-vb'
gaoler-nn' gaol-vb'
desorption-nn' desorb-vb'
coil-nn' coil-vb'
stooper-nn' stoop-vb'
scrawl-nn' scrawl-vb'
hyphenation-nn' hyphenate-vb'
identification-nn' identify-vb'
refinement-nn' refine-vb'
standing-nn' stand-vb'
reaching-nn' reach-vb'
mobilization-nn' mobilize-vb'
titterer-nn' titter-vb'
predestination-nn' predestine-vb'
assignation-nn' assign-vb'
populariser-nn' popularise-vb'
inversion-nn' invert-vb'
disbandment-nn' disband-vb'
bugler-nn' bugle-vb'
elbowing-nn' elbow-vb'
indulging-nn' indulge-vb'
personation-nn' personate-vb'
celebrator-nn' celebrate-vb'
reverberance-nn' reverberate-vb'
foxhunt-nn' foxhunt-vb'
disgruntlement-nn' disgruntle-vb'
joke-nn' joke-vb'
chock-nn' chock-vb'
depravity-nn' deprave-vb'
bitt-nn' bitt-vb'
prospector-nn' prospect-vb'
precession-nn' precede-vb'
ticker-nn' tick-vb'
confuter-nn' confute-vb'
application-nn' apply-vb'
tenderiser-nn' tenderise-vb'
upbraiding-nn' upbraid-vb'
shit-nn' shit-vb'
exhibitor-nn' exhibit-vb'
cycling-nn' cycle-vb'
cycle-nn' cycle-vb'
secularisation-nn' secularise-vb'
mismatch-nn' mismatch-vb'
advertence-nn' advert-vb'
achiever-nn' achieve-vb'
